ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
SDHL,heliport,Lagoa Heliport,10,SA,BR,BR-RJ,Rio De Janeiro,SDHL,,,"-43.217918395996094, -22.975635528564453"
SDHM,heliport,Helicentro MorumbÃ­ Heliport,2428,SA,BR,BR-SP,SÃ£o Paulo,SDHM,,,"-46.745277404785156, -23.595277786254883"
SDHN,heliport,REC Berrini TNU  Heliport,2667,SA,BR,BR-SP,SÃ£o Paulo,SDTN,,SDTN,"-46.696945, -23.608054"
SDHO,heliport,Bradesco - Santo AndrÃ© Heliport,2523,SA,BR,BR-SP,Santo AndrÃ©,SDHO,,,"-46.52876, -23.65549"
SDHP,small_airport,Modelo II Airport,1168,SA,BR,BR-MS,Ribas do Rio Pardo,SDHP,,SDHP,"-53.283775, -21.162035"
SDHQ,heliport,Shopping Leste Aricanduva Heliport,2434,SA,BR,BR-SP,SÃ£o Paulo,SDHQ,,,"-46.504722595214844, -23.5674991607666"
SDHR,small_airport,Fazenda UniÃ£o Airport,476,SA,BR,BR-MS,Porto Murtinho,SDHR,,SDHR,"-57.229258, -20.905209"
SDHS,heliport,TECSAT Heliport,1975,SA,BR,BR-SP,SÃ£o JosÃ© Dos Campos,,,,"-45.932485, -23.242727"
SDHT,heliport,Cetenco Plaza - Torre Norte Heliport,2943,SA,BR,BR-SP,SÃ£o Paulo,SDHT,,,"-46.657501220703125, -23.558055877685547"
SDHU,heliport,Morro da Urca Heliport,692,SA,BR,BR-RJ,Rio De Janeiro,SDHU,,,"-43.16583251953125, -22.95166778564453"
SDHV,heliport,Hospital Albert Einstein Heliport,2828,SA,BR,BR-SP,SÃ£o Paulo,SDHV,,,"-46.71500015258789, -23.600278854370117"
SDHW,heliport,Hospital Bandeirantes Heliport,2598,SA,BR,BR-SP,SÃ£o Paulo,SDHW,,,"-46.63444519042969, -23.607221603393555"
SDHX,small_airport,D'Tapes Airport,68,SA,BR,BR-RS,Tapes,SDHX,,SDHX,"-51.53543, -30.75022"
SDHY,heliport,EdifÃ­cio SÃ£o Gonzaga Heliport,3008,SA,BR,BR-SP,SÃ£o Paulo,SDHY,,,"-46.6613, -23.5567"
SDHZ,heliport,Hospital Vera Cruz Heliport,2406,SA,BR,BR-SP,Campinas,SDHZ,,,"-47.067779541015625, -22.90416717529297"
SDIA,heliport,ItaÃº - Boavista Heliport,2525,SA,BR,BR-SP,SÃ£o Paulo,SDIA,,,"-46.629722595214844, -23.545833587646484"
SDIB,small_airport,IrmÃ£os Ribeiro Airport,3018,SA,BR,BR-SP,EspÃ­rito Santo Do Pinhal,SDIB,,SDIB,"-46.775299072265625, -22.158100128173828"
SDIC,small_airport,Fazenda CapÃ£o Seco Airport,2657,SA,BR,BR-MG,Formiga,SDIC,,MG0082,"-45.689852, -20.71255"
SDID,small_airport,ItararÃ© Airport,2598,SA,BR,BR-SP,ItararÃ©,SDID,,,"-49.32833480834961, -24.135278701782227"
SDIE,heliport,Industrial Estudantes Heliport,2467,SA,BR,BR-SP,Cotia,SDIE,,SDIE,"-46.87917, -23.58944"
SDIF,heliport,PalÃ¡cio Tiradentes Heliport,2746,SA,BR,BR-MG,Belo Horizonte,SDIF,,SDIF,"-43.951565, -19.78655"
SDIG,small_airport,Ibitinga Airport,1780,SA,BR,BR-SP,Ibitinga,SDIG,,SDIG,"-48.8557014465332, -21.747299194335938"
SDIH,small_airport,Fazenda Irohy Airport,2467,SA,BR,BR-SP,Biritiba-Mirim,SDIH,,,"-46.06944274902344, -23.565555572509766"
SDII,heliport,I Tower Helipad,2900,SA,BR,BR-SP,Barueri,SDII,,,"-46.8492, -23.5045"
SDIJ,closed,Panco 13 Heliport,112,SA,BR,BR-RJ,ItaboraÃ­,,,,"-42.89030075073242, -22.756399154663086"
SDIK,heliport,Alpha Business Empresarial Helipad,2043,SA,BR,BR-SP,Campinas,SDIK,,,"-47.0353, -22.8196"
SDIL,small_airport,Fazenda Pedra Branca Airport,10,SA,BR,BR-RJ,Angra Dos Reis,SDIL,,SDIL,"-44.28900146484375, -22.903400421142578"
SDIM,small_airport,ItanhaÃ©m Airport,13,SA,BR,BR-SP,ItanhaÃ©m,SDIM,,,"-46.78555679321289, -24.164722442626953"
SDIN,closed,Clube do CÃ©u Airport,3,SA,BR,BR-RJ,Rio de Janeiro,,,,"-43.40139, -22.997497"
SDIO,small_airport,Aeroclube de ItÃ¡polis Airport,1739,SA,BR,BR-SP,ItÃ¡polis,SDIO,,SDIO,"-48.83277893066406, -21.599721908569336"
SDIP,small_airport,Fazenda Centro de VÃ´o a Vela IpuÃ£ Airport,1913,SA,BR,BR-SP,CaÃ§apava,SDIP,,,"-45.77555465698242, -23.043333053588867"
SDIQ,heliport,Goettems Heliport,8,SA,BR,BR-RJ,Angra Dos Reis,SDIQ,,,"-44.194999694799996, -23.0480556488"
SDIR,heliport,Mantimento Island Heliport,62,SA,BR,BR-RJ,Parati,,,,"-44.65875, -23.18596"
SDIS,heliport,The Eagle`s Nest Heliport,1867,SA,BR,BR-SP,Arandu,SDIS,,,"-49.02944564819336, -23.247499465942383"
SDIT,heliport,ItaÃº NPD Paulista Heliport,2558,SA,BR,BR-SP,SÃ£o Paulo,SDIT,,,"-46.65805435180664, -23.57666778564453"
SDIU,small_airport,Itu Airport,2231,SA,BR,BR-SP,Itu,,,,"-47.327778, -23.349722"
SDIV,small_airport,Ituverava Airport,2044,SA,BR,BR-SP,Ituverava,SDIV,,SDIV,"-47.768699645996094, -20.375499725341797"
SDIW,heliport,EdifÃ­cio SÃ£o Paulo Trade Building Heliport,2628,SA,BR,BR-SP,SÃ£o Paulo,SDIW,,,"-46.68888854980469, -23.593889236450195"
SDIX,heliport,Iporanga - GuarujÃ¡ Heliport,20,SA,BR,BR-SP,GuarujÃ¡,SJNN,,SJNN,"-46.172066, -23.888478"
SDIY,heliport,FÃ¡brica de Motores Rolls Royce Heliport,2575,SA,BR,BR-SP,SÃ£o Bernardo Do Campo,SDIY,,,"-46.561668395996094, -23.698888778686523"
SDIZ,small_airport,Fazenda SÃ£o Paulo Airport,1656,SA,BR,BR-SP,Cardoso,,,,"-49.934723, -20.155555"
SDJA,small_airport,Doutor JosÃ© Augusto de Arruda Botelho Airport,2569,SA,BR,BR-SP,Itirapina,SDJA,,SDJA,"-47.86167, -22.19472"
SDJB,heliport,Quinta Da Baroneza II Heliport,2526,SA,BR,BR-SP,BraganÃ§a Paulista,SDJB,,SDJB,"-46.7, -22.973056"
SDJC,small_airport,Jaboticabal Airport,2024,SA,BR,BR-SP,Jaboticabal,SDJC,0,,"-48.284698486328125, -21.229999542236328"
SDJD,heliport,Juquehy Baleia Heliport,33,SA,BR,BR-SP,SÃ£o SebastiÃ£o,SDJD,,SDJD,"-45.712191, -23.760268"
SDJE,closed,AvibrÃ¡s II Heliport,2133,SA,BR,BR-SP,JacareÃ­,SDJE,,,"-45.8250007629, -23.345832824699997"
SDJF,small_airport,Fazenda JequitibÃ¡ Airport,2310,SA,BR,BR-SP,Buri,SDJF,,,"-48.448055267333984, -23.845277786254883"
SDJG,small_airport,Fazenda Ponte Preta Airport,1689,SA,BR,BR-SP,Santa Cruz Do Rio Pardo,SDJG,,,"-49.483333587646484, -22.733333587646484"
SDJH,heliport,Norberto Odebrecht Heliport,154,SA,BR,BR-BA,Salvador,SDJH,,SDJH,"-38.43556, -12.9625"
SDJI,heliport,AvibrÃ¡s II Heliport,2395,SA,BR,BR-SP,JacareÃ­,SDJI,,,"-45.817222595214844, -23.32638931274414"
SDJJ,heliport,Francisco MellÃ£o Heliport,2634,SA,BR,BR-SP,SÃ£o Paulo,SDJJ,,,"-46.68805694580078, -23.593332290649414"
SDJK,heliport,Centro Empresarial Araguaia Helipad,2710,SA,BR,BR-SP,Barueri,SDJK,,SDJK,"-46.8409, -23.5023"
SDJL,small_airport,Jales Airport,1496,SA,BR,BR-SP,Jales,SDJL,JLS,SDJL,"-50.5463981628418, -20.292999267578125"
SDJM,heliport,SÃ­tio Santo AntÃ´nio Heliport,2520,SA,BR,BR-SP,JundiaÃ­,SDJM,,,"-46.9283332824707, -23.13249969482422"
SDJN,small_airport,Fazenda SÃ£o Luiz Airport,1772,SA,BR,BR-SP,JardinÃ³polis,SDJN,,,"-47.75055694580078, -21.100555419921875"
SDJO,small_airport,SÃ£o Joaquim da Barra Airport,2136,SA,BR,BR-SP,SÃ£o Joaquim Da Barra,SDJO,0,,"-47.842201232910156, -20.593299865722656"
SDJP,heliport,IguaÃ§u Heliport,167,SA,BR,BR-RJ,Nova IguaÃ§u,SDJP,,SDJP,"-43.464406, -22.745286"
SDJQ,small_airport,Fazenda SÃ£o Joaquim O.B. Airport,1276,SA,BR,BR-SP,Pereira Barreto,SDJQ,,SDJQ,"-51.007999420166016, -20.828399658203125"
SDJR,small_airport,Fazenda Santa InÃªs Airport,1804,SA,BR,BR-SP,SÃ£o JosÃ© Do Rio Preto,SDJR,,,"-49.39250183105469, -20.88249969482422"
SDJS,small_airport,Andorinha Airport,735,SA,BR,BR-RR,UiramutÃ£,SDJS,,SDJS,"-60.241667, 4.727222"
SDJT,heliport,J. Toledo Heliport,2287,SA,BR,BR-SP,JundiaÃ­,SDJT,,,"-46.90833282470703, -23.17472267150879"
SDJU,heliport,Hospital SÃ£o Luiz Heliport,2536,SA,BR,BR-SP,SÃ£o Paulo,SDJU,,,"-46.67277908325195, -23.59027862548828"
SDJV,small_airport,SÃ£o JoÃ£o da Boa Vista Airport,2500,SA,BR,BR-SP,SÃ£o JoÃ£o Da Boa Vista,SDJV,,,"-46.8408317565918, -22.017221450805664"
SDJW,heliport,Rede D'Or SÃ£o Luiz Morumbi Heliport,2552,SA,BR,BR-SP,SÃ£o Paulo,SDJW,,SP0368,"-46.70359, -23.591053"
SDJX,small_airport,Fazenda Serra Dourada Airport,1585,SA,BR,BR-TO,PalmeirÃ³polis,SDJX,,SDJX,"-48.382523, -13.105634"
SDJY,heliport,Paulista Capital Plaza - The Flat Heliport,2953,SA,BR,BR-SP,SÃ£o Paulo,SDJY,,,"-46.64611053466797, -23.57111167907715"
SDJZ,small_airport,Fazenda Barra do Agudo Airport,1608,SA,BR,BR-SP,Morro Agudo,SDJZ,0,,"-48.221900939941406, -20.808300018310547"
SDKA,small_airport,Angical Airport,184,SA,BR,BR-RR,Normandia,SDKA,,SDKA,"-59.835001, 4.164573"
SDKB,small_airport,Casa Branca Municipal Airport,2346,SA,BR,BR-SP,Casa Branca,SSCB,,SP0044,"-47.055557, -21.788055"
SDKC,small_airport,Fazenda Eldorado Airport,1771,SA,BR,BR-SP,GÃ¡lia,SDKC,,,"-49.462223052978516, -22.303611755371094"
SDKD,heliport,CondomÃ­nio AmÃ©rica Business Park Heliport,2490,SA,BR,BR-SP,SÃ£o Paulo,SDKD,,,"-46.70305633544922, -23.61833381652832"
SDKE,small_airport,Coribe Airport,2198,SA,BR,BR-BA,Coribe,SDKE,,,"-44.46444320678711, -13.7772216796875"
SDKF,small_airport,Juazeiro Airport,1220,SA,BR,BR-BA,CuraÃ§Ã¡,SDKF,,SDKF,"-40.0914001465, -9.155540466309999"
SDKG,small_airport,Fazenda GÃ¡vea Airport,2031,SA,BR,BR-SP,Cerqueira CÃ©sar,SSQK,,SSQK,"-49.179169, -23.225"
SDKH,heliport,EdifÃ­cio New Century Heliport,2179,SA,BR,BR-SP,RibeirÃ£o Preto,,,,"-47.810173, -21.205485"
SDKI,heliport,CL Heliport,1993,SA,BR,BR-SP,SÃ£o JosÃ© Dos Campos,SDKI,,,"-45.906944274902344, -23.224443435668945"
SDKJ,small_airport,Formosa do Rio Preto Airport,1598,SA,BR,BR-BA,Formosa Do Rio Preto,SDKJ,,SDKJ,"-45.18669891357422, -11.021599769592285"
SDKK,small_airport,Mococa Airport,2116,SA,BR,BR-SP,Mococa,SDKK,QOA,,"-47.034400939941406, -21.48780059814453"
SDKL,small_airport,CaracaranÃ£ Airport,108,SA,BR,BR-RR,Normandia,SDKL,,SDKL,"-59.777179, 3.835853"
SDKM,heliport,Hotel Emiliano Heliport,2716,SA,BR,BR-SP,SÃ£o Paulo,SDKM,,,"-46.665279388427734, -23.565832138061523"
SDKN,small_airport,Fazenda e Haras Bela Vista Airport,2339,SA,BR,BR-SP,Mineiros Do TietÃª,SDKN,,,"-48.405555725097656, -22.43805694580078"
SDKO,small_airport,Fazenda Campo Grande Airport,1830,SA,BR,BR-SP,ColÃ´mbia,SDKO,,SDKO,"-48.78860092163086, -20.257699966430664"
SDKP,small_airport,Fazenda Jamaica Airport,1611,SA,BR,BR-SP,PompÃ©ia,SDKP,,,"-50.27888870239258, -22.189722061157227"
SDKQ,small_airport,Fazenda SÃ£o JoÃ£o Airport,1673,SA,BR,BR-SP,Guaraci,SDKQ,,,"-49.06666564941406, -20.21666717529297"
SDKR,small_airport,Fazenda TriÃ¢ngulo Airport,1116,SA,BR,BR-MT,Pontes E Lacerda,SDKR,,,"-59.171112060546875, -15.175000190734863"
SDKS,heliport,Torre da GlÃ³ria Heliport,197,SA,BR,BR-RJ,Rio De Janeiro,SDKS,,,"-43.177223205566406, -22.91805648803711"
SDKT,heliport,EdifÃ­cio Dacon Heliport,2703,SA,BR,BR-SP,SÃ£o Paulo,SDKT,,,"-46.68388748168945, -23.568056106567383"
SDKU,heliport,ItanhangÃ¡ Heliport,2313,SA,BR,BR-SP,Indaiatuba,SDKU,,,"-47.185279846191406, -23.060832977294922"
SDKV,heliport,Rede Globo Heliport,2384,SA,BR,BR-SP,SÃ£o Paulo,SDKV,,SP0377,"-46.696819, -23.6148"
SDKW,small_airport,Fazenda Sodema Airport,1181,SA,BR,BR-MT,Vera,SDBD,,SDBD,"-55.536944, -12.295278"
SDKX,small_airport,Fazenda AgrovÃ¡s Airport,1070,SA,BR,BR-MT,SÃ£o FÃ©lix do Araguaia,SDKX,,,"-52.411225, -11.513307"
SDKY,heliport,Hospital das ClÃ­nicas Heliport,2740,SA,BR,BR-SP,SÃ£o Paulo,SDKY,,,"-46.668888092041016, -23.557777404785156"
SDKZ,small_airport,Caraparu 4 Airport,2525,SA,BR,BR-RR,UiramutÃ£,SDKZ,,,"-60.470043, 4.557947"
SDLA,heliport,CondomÃ­nio Laranjeiras Heliport,11,SA,BR,BR-RJ,Parati,SDLA,,,"-44.66083145139999, -23.344167709399997"
SDLB,heliport,Metropolitan Office Heliport,2670,SA,BR,BR-SP,SÃ£o Paulo,SDLB,,,"-46.682498931884766, -23.580833435058594"
SDLC,small_airport,LucÃ©lia Airport,1476,SA,BR,BR-SP,LucÃ©lia,SDLC,0,,"-51.0182991027832, -21.749399185180664"
SDLD,heliport,Fazenda SÃ£o Miguel Heliport,2894,SA,BR,BR-SP,RibeirÃ£o Branco,SIKG,,SP0517,"-48.642858, -24.198151"
SDLE,small_airport,Rio de Contas Airport,3576,SA,BR,BR-BA,Rio De Contas,SDLE,,,"-41.78916549682617, -13.587499618530273"
SDLF,heliport,SBT Heliport,2639,SA,BR,BR-SP,Osasco,SDLF,,,"-46.77750015258789, -23.476667404174805"
SDLG,small_airport,Salviano InÃ¡cio Rocha Airport,1890,SA,BR,BR-BA,OurolÃ¢ndia,SDLG,,,"-41.06944274902344, -10.974444389343262"
SDLH,small_airport,Caldas do Jorro Airport,696,SA,BR,BR-BA,Tucano,SDLH,,,"-38.7841682434082, -11.044166564941406"
SDLI,small_airport,JeovÃ¡ Gomes CorrÃªa Airport,955,SA,BR,BR-BA,AbarÃ©,SDLI,,BA0039,"-39.115398, -8.73699"
SDLJ,small_airport,IgarapÃ© Bahia Airport,2257,SA,BR,BR-PA,Parauapebas,SDLJ,,SDLJ,"-50.5797004699707, -6.0477800369262695"
SDLK,small_airport,CaculÃ© Airport,2064,SA,BR,BR-BA,CaculÃ©,SDLK,,SDLK,"-42.26470184326172, -14.481200218200684"
SDLL,small_airport,Leme Airport,2024,SA,BR,BR-SP,Leme,SDLL,0,,"-47.382198333740234, -22.226900100708008"
SDLM,closed,Ipua Faz Alianca Airport,2375,SA,BR,BR-SP,Ipua,SDLM,,,"-48.0442008972168, -20.5049991607666"
SDLN,heliport,Tosana Heliport,26,SA,BR,BR-RJ,Cabo Frio,SDLN,,,"-42.025385, -22.600385"
SDLO,small_airport,Fazenda Pontal Airport,12,SA,BR,BR-BA,Cairu,SDLO,,SDLO,"-38.939998626708984, -13.564800262451172"
SDLP,small_airport,LenÃ§Ã³is Paulista Airport,2039,SA,BR,BR-SP,LenÃ§Ã³is Paulista,SDLP,QGC,SDLP,"-48.774600982666016, -22.578399658203125"
SDLQ,small_airport,Fazenda Perobal Airport,1339,SA,BR,BR-SP,Guararapes,SDLQ,,,"-50.77805709838867, -21.503610610961914"
SDLR,small_airport,Fazenda Sonho Dourado Airport,1722,SA,BR,BR-SP,Valentim Gentil,SDLR,,,"-50.1422233581543, -20.467222213745117"
SDLS,heliport,Terminal PetrobrÃ¡s - Guararema Heliport,1919,SA,BR,BR-SP,Guararema,SDLS,,,"-45.96666717529297, -23.414167404174805"
SDLT,closed,Fazenda Santa Rita Airport,1437,SA,BR,BR-SP,Lutecia,SDLT,,,"-50.373600006103516, -22.199399948120117"
SDLU,small_airport,Fazenda Santa LuÃ­za Airport,1782,SA,BR,BR-SP,Barra Bonita,SDLU,,SDLU,"-48.52450180053711, -22.48310089111328"
SDLV,small_airport,Fazenda SÃ£o Francisco Airport,1581,SA,BR,BR-PR,FlorestÃ³polis,SDLV,,,"-51.35194396972656, -22.920833587646484"
SDLW,small_airport,Fazenda Campo Real Airport,1804,SA,BR,BR-MT,Campo Novo Do Parecis,SDLW,,,"-57.78111267089844, -13.446944236755371"
SDLX,small_airport,Fazenda JacareÃºna Airport,1417,SA,BR,BR-MT,SÃ£o FÃ©lix Do Araguaia,SDLX,,,"-52.2047233581543, -11.441110610961914"
SDLY,small_airport,MatÃ£o Airport,2083,SA,BR,BR-SP,MatÃ£o,SDLY,0,,"-48.352500915527344, -21.62310028076172"
SDMA,small_airport,Fazenda Maristela Airport,1804,SA,BR,BR-SP,TremembÃ©,SDMA,,,"-45.60166549682617, -22.954166412353516"
SDMB,heliport,Benteler Heliport,2156,SA,BR,BR-SP,Campinas,SDMB,,,"-47.11944580078125, -23.001110076904297"
SDMC,small_airport,MaricÃ¡ Airport,13,SA,BR,BR-RJ,MaricÃ¡,SBMI,,SBMI,"-42.830898, -22.9195"
SDMD,small_airport,Fazenda Santa Izabel Airport,1033,SA,BR,BR-MS,Coxim,SDMD,,SDMD,"-54.6958333333, -18"
SDME,small_airport,Marchesan S.A. Airport,1942,SA,BR,BR-SP,MatÃ£o,SDME,,SDME,"-48.39289855957031, -21.630599975585938"
SDMF,heliport,Maresias Heliport,36,SA,BR,BR-SP,SÃ£o SebastiÃ£o,SDLQ,,SP0382,"-45.572213, -23.786737"
SDMG,small_airport,Haxiu Airport,2497,SA,BR,BR-RR,Alto Alegre,SDMG,,,"-63.74692, 2.675404"
SDMH,small_airport,Mirassol Airport,1916,SA,BR,BR-SP,Mirassol,SDMH,0,,"-49.48609924316406, -20.807199478149414"
SDMI,heliport,Comando do 8Âº Distrito Naval Heliport,2580,SA,BR,BR-SP,SÃ£o Paulo,SDMI,,,"-46.6466674805, -23.594167709399997"
SDMJ,small_airport,Mogi Mirim Airport,2274,SA,BR,BR-SP,Mogi Mirim,SDMJ,0,,"-46.90530014038086, -22.40999984741211"
SDMK,small_airport,LetÃ­cia Airport,1191,SA,BR,BR-MS,Ribas do Rio Pardo,SDMK,,,"-53.558751, -21.552032"
SDML,small_airport,Plataforma Merluza Airport,,SA,BR,BR-SP,SÃ£o SebastiÃ£o,SDML,,,"-45.25279998779297, -25.26689910888672"
