ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
CYSL,medium_airport,St Leonard Airport,793,NA,CA,CA-NB,St Leonard,CYSL,YSL,,"-67.83470153808594, 47.157501220703125"
CYSM,medium_airport,Fort Smith Airport,671,NA,CA,CA-NT,Fort Smith,CYSM,YSM,,"-111.96199798583984, 60.020301818847656"
CYSN,medium_airport,Niagara District Airport,321,NA,CA,CA-ON,St Catharines,CYSN,YCM,,"-79.17169952392578, 43.19169998168945"
CYSP,medium_airport,Marathon Airport,1035,NA,CA,CA-ON,Marathon,CYSP,YSP,,"-86.34439849853516, 48.75529861450195"
CYSQ,small_airport,Atlin Airport,2348,NA,CA,CA-BC,Atlin,CYSQ,,,"-133.66900634766, 59.576698303223"
CYSR,closed,Nanisivik Airport,2106,NA,CA,CA-NU,Nanisivik,CYSR,,,"-84.613602, 72.982201"
CYST,medium_airport,St. Theresa Point Airport,773,NA,CA,CA-MB,St. Theresa Point,CYST,YST,,"-94.85189819335938, 53.84560012817383"
CYSU,medium_airport,Summerside Airport,56,NA,CA,CA-PE,Summerside,CYSU,YSU,,"-63.83359909057617, 46.44060134887695"
CYSW,small_airport,Sparwood Elk Valley Airport,3800,NA,CA,CA-BC,Sparwood,CYSW,,,"-114.88300323486328, 49.83330154418945"
CYSY,medium_airport,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,282,NA,CA,CA-NT,Sachs Harbour,CYSY,YSY,,"-125.242996216, 71.9938964844"
CYSZ,small_airport,Ste Anne Des Monts Airport,71,NA,CA,CA-QC,Ste-Anne-Des-Monts,CYSZ,,,"-66.5291976928711, 49.12030029296875"
CYTA,medium_airport,Pembroke Airport,529,NA,CA,CA-ON,Pembroke,CYTA,YTA,,"-77.25170135498047, 45.86439895629883"
CYTE,medium_airport,Cape Dorset Airport,164,NA,CA,CA-NU,Cape Dorset,CYTE,YTE,,"-76.5267028809, 64.2300033569"
CYTF,medium_airport,Alma Airport,445,NA,CA,CA-QC,Alma,CYTF,YTF,,"-71.64189910889999, 48.50889968869999"
CYTH,medium_airport,Thompson Airport,729,NA,CA,CA-MB,Thompson,CYTH,YTH,,"-97.86419677734375, 55.80110168457031"
CYTL,medium_airport,Big Trout Lake Airport,729,NA,CA,CA-ON,Big Trout Lake,CYTL,YTL,,"-89.89689636230469, 53.81779861450195"
CYTN,small_airport,Trenton Airport,319,NA,CA,CA-NS,Trenton,CYTN,,,"-62.621102, 45.611904"
CYTQ,medium_airport,Tasiujaq Airport,122,NA,CA,CA-QC,Tasiujaq,CYTQ,YTQ,,"-69.95580291748047, 58.66780090332031"
CYTR,medium_airport,CFB Trenton,283,NA,CA,CA-ON,Trenton,CYTR,YTR,,"-77.5280990600586, 44.118900299072266"
CYTS,medium_airport,Timmins/Victor M. Power,967,NA,CA,CA-ON,Timmins,CYTS,YTS,,"-81.376701355, 48.569698333699996"
CYTZ,medium_airport,Billy Bishop Toronto City Centre Airport,252,NA,CA,CA-ON,Toronto,CYTZ,YTZ,,"-79.396202, 43.627499"
CYUB,medium_airport,Tuktoyaktuk Airport,15,NA,CA,CA-NT,Tuktoyaktuk,CYUB,YUB,,"-133.0260009765625, 69.43329620361328"
CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,118,NA,CA,CA-QC,Montr̩al,CYUL,YUL,YUL,"-73.7407989502, 45.4706001282"
CYUT,medium_airport,Naujaat Airport,80,NA,CA,CA-NU,Repulse Bay,CYUT,YUT,,"-86.224701, 66.5214"
CYUX,medium_airport,Hall Beach Airport,30,NA,CA,CA-NU,Hall Beach,CYUX,YUX,,"-81.2425, 68.77610015869999"
CYUY,medium_airport,Rouyn Noranda Airport,988,NA,CA,CA-QC,Rouyn-Noranda,CYUY,YUY,,"-78.83560180664062, 48.20610046386719"
CYVB,medium_airport,Bonaventure Airport,123,NA,CA,CA-QC,Bonaventure,CYVB,YVB,,"-65.46029663085938, 48.07109832763672"
CYVC,medium_airport,La Ronge Airport,1242,NA,CA,CA-SK,La Ronge,CYVC,YVC,,"-105.262001038, 55.151401519800004"
