ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
GB-0540,small_airport,Ballone Castle Airstrip,,EU,GB,GB-SCT,,,,,"-3.808089, 57.832293"
GB-0541,small_airport,Glensanda Airstrip,,EU,GB,GB-SCT,,,,,"-5.5474649, 56.5610514"
GB-0542,small_airport,Forfar Airstrip,,EU,GB,GB-SCT,Forfar,,,,"-2.8327751, 56.6533631"
GB-0543,small_airport,Rothwell Lodge Farm Airstrip,,EU,GB,GB-ENG,Rothwell,,,,"-0.790025, 52.41156"
GB-0544,small_airport,Rectory Farm Airstrip,,EU,GB,GB-ENG,Averham,,,,"-0.848486, 53.086138"
GB-0545,small_airport,Portmoak Glider Field,,EU,GB,GB-SCT,Portmoak,,,,"-3.328505, 56.191031"
GB-0546,small_airport,Carrickmore Airstrip,541,EU,GB,GB-NIR,Carrickmore,,,,"-7.044873, 54.572102"
GB-0547,small_airport,Pear Tree Farm Airstrip,200,EU,GB,GB-ENG,Marthall,,,,"-2.297641, 53.279333"
GB-0548,small_airport,Lukesfield Airstrip,,EU,GB,GB-ENG,,,,,"0.526992, 51.178559"
GB-0549,small_airport,Anniesfield Microlight Site,,EU,GB,GB-ENG,,,,,"0.699028, 51.751637"
GB-0550,small_airport,Lower Botrea,500,EU,GB,GB-ENG,,,,,"-5.629731, 50.112244"
GB-0551,small_airport,Sackville Farm Airstrip,250,EU,GB,GB-ENG,RISELEY Bedfordshire,,,,"-0.486598, 52.262422"
GB-0552,small_airport,Meppershall,160,EU,GB,GB-ENG,,,,,"-0.355031, 52.02053"
GB-0553,small_airport,Raydon Wings,170,EU,GB,GB-ENG,,,,,"1.007259, 52.018658"
GB-0554,small_airport,Carr Valley,,EU,GB,GB-ENG,,,,,"-2.796592, 53.688505"
GB-0555,small_airport,Brown Shutters Farm Airstrip,400,EU,GB,GB-ENG,,,,,"-2.308502, 51.311381"
GB-0556,small_airport,Blooms Farm Airstrip,243,EU,GB,GB-ENG,,,,,"0.556438, 51.994166"
GB-0557,small_airport,Saltby Glider Field,480,EU,GB,GB-ENG,Saltby,,,,"-0.7125, 52.829667"
GB-0558,small_airport,Tarsan Lane Microlights,40,EU,GB,GB-NIR,Portadown,,,,"-6.436968, 54.457555"
GB-0559,small_airport,Aughrim Airstrip,,EU,GB,GB-NIR,,,,,"-6.045952, 54.093811"
GB-0560,small_airport,Horham Airstrip,180,EU,GB,GB-ENG,Horham,,,,"1.2255, 52.309167"
GB-0561,small_airport,Cae Mawr Tyddyn Hen,200,EU,GB,GB-WLS,,,,,"-4.235529, 53.157273"
GB-0562,small_airport,Stow Maries Great War Aerodrome,,EU,GB,GB-ENG,,,,,"0.632684, 51.66948"
GB-0563,closed,RAF Watton Air Base,,EU,GB,GB-ENG,Watton,,,,"0.865384, 52.5621892"
GB-0564,small_airport,Chalksole Green Airstrip,,EU,GB,GB-ENG,Alkham,,,,"1.209165, 51.144824"
GB-0565,closed,South Moor Farm Airstrip,,EU,GB,GB-ENG,Dalby Forest,,,,"-0.606567, 54.299574"
GB-0566,closed,RAF North Killingholme,,EU,GB,GB-ENG,,,,,"-0.291481, 53.636089"
GB-0567,closed,RAF Stanton Harcourt Air Base,,EU,GB,GB-ENG,,,,,"-1.4014872, 51.7462103"
GB-0568,closed,RAF Denborough Air Base,,EU,GB,GB-ENG,,,,,"-0.797611, 52.469213"
GB-0569,small_airport,Rivar Hill Glider Field,,EU,GB,GB-ENG,,,,,"-1.541894, 51.3414659"
GB-0570,closed,Wisley Airfield,,EU,GB,GB-ENG,,,,,"-0.4541691, 51.3068085"
GB-0571,closed,RAF Poulton,,EU,GB,GB-ENG,,,,,"-2.892399, 53.129618"
GB-0572,heliport,Nottingham Heliport,,EU,GB,GB-ENG,,,,,"-1.0315114, 52.8389925"
GB-0573,closed,RAF Skaebrae Air Base,,EU,GB,GB-SCT,Orkney,,,,"-3.269179, 59.063901"
GB-0574,closed,RNAS HMS Tern Air Base,,EU,GB,GB-SCT,Twatt,,,,"-3.2846396, 59.0887808"
GB-0575,closed,RAF Errol (closed) Air Base,,EU,GB,GB-SCT,Errol,,,,"-3.1850436, 56.4034864"
GB-0576,closed,Former Drumshade Glider Field,,EU,GB,GB-SCT,Drumshade,,,,"-3.025844, 56.644171"
GB-0577,small_airport,Kirriemuir Farm Strip,,EU,GB,GB-SCT,,,,,"-3.027775, 56.650081"
GB-0578,closed,RAF East Moor Air Base,,EU,GB,GB-ENG,,,,,"-1.0830345, 54.0695132"
GB-0579,closed,RNAS Dale Air Base,,EU,GB,GB-WLS,Dale,,,,"-5.194209, 51.714807"
GB-0580,heliport,Carden Park Hotel Helistrip,,EU,GB,GB-ENG,,,,,"-2.809839, 53.073103"
GB-0581,small_airport,Winkwood Farm Airstrip,,EU,GB,GB-ENG,,,,,"-0.6650901, 51.1449"
GB-0582,small_airport,Windrush Airstrip,,EU,GB,GB-ENG,,,,,"-1.7358, 51.8044"
GB-0583,closed,RAF Croft,,EU,GB,GB-ENG,Croft,,,,"-1.558772, 54.45547"
GB-0584,small_airport,Yoxford Airstrip,,EU,GB,GB-ENG,,,,,"1.50909, 52.277934"
GB-0585,small_airport,Yafford House Private Airstrip,,EU,GB,GB-ENG,Isle of Wight,,,,"-1.36393, 50.63144"
GB-0586,heliport,Cricklade Hotel Heliport,,EU,GB,GB-ENG,,,,,"-1.874226, 51.636387"
GB-0587,small_airport,Norton Malreward Airstrip,,EU,GB,GB-ENG,,,,,"-2.56879, 51.38254"
GB-0588,closed,RAF Warboys Air Base,,EU,GB,GB-ENG,Huntingdon,,,,"-0.0931, 52.3951"
GB-0589,heliport,Worcester-Royal-Hospital Heliport,233,EU,GB,GB-ENG,Worcester,,,,"-2.177204, 52.189661"
GB-0590,closed,RAF Woolfox Lodge Air Base,,EU,GB,GB-ENG,,,,,"-0.574625, 52.707621"
GB-0591,small_airport,Warren Farm Airstrip,,EU,GB,GB-ENG,,,,,"-2.719748, 51.290216"
GB-0592,small_airport,Wentworth Private Airstrip,,EU,GB,GB-ENG,,,,,"-1.419034, 53.474569"
GB-0593,small_airport,Topcroft Farm Airstrip,,EU,GB,GB-ENG,,,,,"1.330176, 52.465464"
GB-0594,small_airport,Barcombe-North Airstrip,,EU,GB,GB-ENG,,,,,"0.031887, 50.935009"
GB-0595,closed,RAF Throckmorton Air Base,,EU,GB,GB-ENG,,,,,"-2.037167, 52.144318"
GB-0596,small_airport,Palmer Moor Farm Airstrip,,EU,GB,GB-ENG,Doveridge,,,,"-1.801554, 52.899582"
GB-0597,small_airport,Waits Farm Airstrip,,EU,GB,GB-ENG,,,,,"0.640343, 52.034118"
GB-0598,heliport,Waterloo Hotel Helistrip,,EU,GB,GB-ENG,,,,,"-3.797174, 53.086877"
GB-0599,small_airport,Bagber Farm Airstrip,,EU,GB,GB-ENG,,,,,"-2.265683, 50.796899"
GB-0600,small_airport,Freshwater Fruit Farm Airstrip,,EU,GB,GB-ENG,Isle of Wight,,,,"-1.492285, 50.6809309995"
GB-0601,small_airport,Cadwell Park Farm Airstrip,,EU,GB,GB-ENG,,,,,"-0.072552, 53.316481"
GB-0602,small_airport,Bankwood Farm Airstrip,,EU,GB,GB-ENG,Thurgarton,,,,"-0.997581, 53.045801"
GB-0603,closed,Upottery Air Base,,EU,GB,GB-ENG,,,,,"-3.160606, 50.885745"
GB-0604,closed,RAF Tuddenham Air Base,,EU,GB,GB-ENG,Tuddenham,,,,"0.573844, 52.317637"
GB-0605,heliport,Tunbridge Wells Hospital Helipad,,EU,GB,GB-ENG,,,,,"0.307619, 51.149036"
GB-0606,small_airport,Wortham Airstrip,,EU,GB,GB-ENG,,,,,"1.064814, 52.345236"
GB-0607,closed,RAF Tholthorpe Air Base,,EU,GB,GB-ENG,,,,,"-1.264926, 54.105959"
GB-0608,closed,RAF Templeton Air Base,,EU,GB,GB-WLS,,,,,"-4.754015, 51.7648"
GB-0609,balloonport,Black Horse Ballooning Club,,EU,GB,GB-ENG,"Great Missenden, Bucks",,,,"-0.712451, 51.710142"
GB-0610,closed,RAF Stradishall Air Base,,EU,GB,GB-ENG,,,,,"0.520487, 52.130551"
GB-0611,small_airport,Cockerham,,EU,GB,GB-ENG,,,,,"-2.831491, 53.965074"
GB-0612,closed,RAF Thorpe Abbotts Air Base,,EU,GB,GB-ENG,,,,,"1.211918, 52.383357"
GB-0613,heliport,Torbay Daddyhole Plain,,EU,GB,GB-ENG,Torquay,,,,"-3.514665, 50.455712"
GB-0614,small_airport,Ringmer Glider Field,,EU,GB,GB-ENG,,,,,"0.105314, 50.907978"
GB-0615,small_airport,London Gliding Club,,EU,GB,GB-ENG,Dunstable,,,,"-0.545165, 51.868549"
GB-0616,small_airport,Darlton Gliding Club,,EU,GB,GB-ENG,,,,,"-0.859207, 53.244587"
GB-0617,heliport,Ysbyty Glan Clywd Hospital Heliport,,EU,GB,GB-WLS,,,,,"-3.498112, 53.273738"
GB-0618,heliport,Great North Air Ambulance,,EU,GB,GB-ENG,Langwathby,,,,"-2.6621042, 54.6916425"
GB-0619,small_airport,Stanton Farm Airstrip,,EU,GB,GB-ENG,,,,,"-1.8733594, 51.3387603"
GB-0620,small_airport,Truleigh Manor Farm Airstrip,,EU,GB,GB-ENG,,,,,"-0.254678, 50.898506"
GB-0621,small_airport,Tongham Airstrip,,EU,GB,GB-ENG,,,,,"-0.728329, 51.227645"
GB-0622,small_airport,Dairy House Farm Airfield,,EU,GB,GB-ENG,,,,,"-2.5037106, 53.106477"
GB-0623,heliport,Aberdeen Royal Infirmary Helistrip,,EU,GB,GB-SCT,Aberdeen,,,,"-2.134904, 57.152453"
GB-0624,small_airport,Sparr Farm Airstrip,,EU,GB,GB-ENG,,,,,"-0.512273, 51.035749"
GB-0625,heliport,Aintree University Hospital Heliport,,EU,GB,GB-ENG,,,,,"-2.9284169, 53.4647107"
GB-0626,small_airport,North Reston Hall Farm Airstrip,,EU,GB,GB-ENG,Louth,,,,"0.070853, 53.325299"
GB-0627,small_airport,Louth Airstrip,,EU,GB,GB-ENG,,,,,"0.0326153, 53.3579863"
GB-0628,small_airport,Eastfield Farm Airstrip,,EU,GB,GB-ENG,,,,,"0.12078, 53.365413"
GB-0629,small_airport,Hold Farm Airstrip,,EU,GB,GB-ENG,,,,,"-0.782441, 52.342384"
GB-0630,small_airport,Hulcote Farm Airstrip,,EU,GB,GB-ENG,,,,,"-0.621314, 52.036706"
GB-0631,small_airport,Royal Glamorgan Hospital Heliport,,EU,GB,GB-WLS,,,,,"-3.394245, 51.546332"
GB-0632,small_airport,Debach Airfield,,EU,GB,GB-ENG,,,,,"1.2659579, 52.1341341"
GB-0633,heliport,Torquay Go-Kart circuit helipad,,EU,GB,GB-ENG,,,,,"-3.551301, 50.394339"
GB-0634,small_airport,Southery Airstrip,,EU,GB,GB-ENG,,,,,"0.382986, 52.53854"
GB-0635,small_airport,Bounds Farm Airstrip,,EU,GB,GB-ENG,Ardleigh,,,,"1.009167, 51.9245"
GB-0636,heliport,Raemoir House Hotel Helipad,,EU,GB,GB-SCT,Banchory,,,,"-2.505362, 57.08511"
GB-0637,small_airport,Clothall Common Airstrip,,EU,GB,GB-ENG,,,,,"-0.1641444, 51.985385"
GB-0638,small_airport,Shelsley-Beauchamp Airstrip,,EU,GB,GB-ENG,,,,,"-2.39192, 52.2603384"
GB-0639,small_airport,Ranksborough Farm Airstrip,,EU,GB,GB-ENG,Langham,,,,"-0.775251, 52.688977"
GB-0640,closed,RAF Portreath,,EU,GB,GB-ENG,Portreath,,,,"-5.263333, 50.271389"
GB-0641,closed,RAF St Eval,,EU,GB,GB-ENG,St Eval,,,,"-4.99953, 50.47822"
GB-0642,heliport,Liskeard Heliport,100,EU,GB,GB-ENG,Liskeard,,,,"-4.394102, 50.414315"
GB-0643,closed,RAF Winkleigh,,EU,GB,GB-ENG,Winkleigh,,,,"-3.960743, 50.868134"
GB-0644,heliport,Lake Heliport Abbotsham,270,EU,GB,GB-ENG,Bideford,,,,"-4.251607, 51.032554"
GB-0645,heliport,Norton Manor Camp Helistrip,,EU,GB,GB-ENG,,,,,"-3.1593028, 51.0344817"
GB-0646,closed,RAF Culmhead,,EU,GB,GB-ENG,Culmhead,,,,"-3.128958, 50.930143"
GB-0647,heliport,Prince Charles Hospital Helipad,,EU,GB,GB-WLS,Merthyr Tydfil,,,,"-3.386852, 51.763496"
GB-0648,heliport,Croft Heliport,,EU,GB,GB-ENG,,,,,"-1.231451, 52.554172"
GB-0649,small_airport,Ramsdean private airstrip,,EU,GB,GB-ENG,,,,,"-0.993607, 50.992342"
GB-0650,closed,RAF Plain Heath Air Base,,EU,GB,GB-ENG,Holmsey,,,,"-1.696773, 50.788437"
GB-0651,small_airport,Lennox Plunton Airstrip,,EU,GB,GB-SCT,Kirkcudbright,,,,"-4.15884, 54.841753"
GB-0652,small_airport,Pauncefoot Farm Airstrip,,EU,GB,GB-ENG,,,,,"-1.520684, 50.976818"
GB-0653,small_airport,Pitlands Farm Airstrip,,EU,GB,GB-ENG,,,,,"-0.865023, 50.906077"
GB-0654,small_airport,Pencraig Airstrip,,EU,GB,GB-WLS,,,,,"-3.419661, 52.833151"
GB-0655,closed,RAF Oulton Air Base,,EU,GB,GB-ENG,"Oulton, Norfolk",,,,"1.181889, 52.798818"
GB-0656,closed,RAF Ossington Air Base,,EU,GB,GB-ENG,"Ossington, Nottinghamshire",,,,"-0.888472, 53.176843"
GB-0657,small_airport,Houghton Kepier Airstrip,,EU,GB,GB-ENG,,,,,"-1.4757603, 54.8374549"
GB-0658,heliport,Norfolk and Norwich University Hospital Helipad,,EU,GB,GB-ENG,Norwich,,,,"1.220813, 52.619178"
GB-0659,closed,RAF North Pickenham Air Base,,EU,GB,GB-ENG,,,,,"0.732724, 52.627378"
GB-0660,small_airport,North Rigton Private Airstrip,,EU,GB,GB-ENG,,,,,"-1.552205, 53.940831"
GB-0661,small_airport,New Model Farm Airstrip,,EU,GB,GB-ENG,"Sarratt, Herts",,,,"-0.490286, 51.673899"
GB-0662,small_airport,Swinmore Farm Airstrip,,EU,GB,GB-ENG,Munsley (Herefordshire),,,,"-2.478361, 52.07441"
GB-0663,heliport,Morriston Hospital Helipad,,EU,GB,GB-WLS,,,,,"-3.937201, 51.684048"
GB-0664,closed,RAF Montford Bridge Air Base,,EU,GB,GB-ENG,Montford Bridge (Shropshire),,,,"-2.843399, 52.748477"
GB-0665,small_airport,Middle West Farm Airstrip,,EU,GB,GB-ENG,,,,,"-0.155396, 52.619908"
GB-0666,heliport,Maydown Heliport,,EU,GB,GB-NIR,"Maydown, Co. Derry",,,,"-7.23381, 55.031915"
GB-0667,small_airport,Middleham Airstrip,,EU,GB,GB-ENG,,,,,"-1.831541, 54.287538"
GB-0668,small_airport,Middle Chinnock Airstrip,,EU,GB,GB-ENG,,,,,"-2.736626, 50.915318"
GB-0669,small_airport,Michaelwood Airstrip,,EU,GB,GB-ENG,,,,,"-2.408098, 51.654733"
GB-0670,small_airport,Mayfield Farm Airstrip,,EU,GB,GB-SCT,,,,,"-4.764698, 55.645872"
GB-0671,small_airport,Thankerton private airstrip,,EU,GB,GB-SCT,,,,,"-3.618665, 55.624192"
GB-0672,closed,London Red Bull Airport,,EU,GB,GB-ENG,London,,,,"0.056734, 51.50729"
GB-0673,closed,RAF Down Ampney,270,EU,GB,GB-ENG,,,,,"-1.839444, 51.666944"
GB-0674,closed,Hendon Aerodrome,,EU,GB,GB-ENG,,,,,"-0.245, 51.601"
GB-0675,closed,RAF Moreton in Marsh,,EU,GB,GB-ENG,,,,,"-1.68, 51.995"
GB-0676,closed,RAF Leiston,,EU,GB,GB-U-A,,,,,"1.554995, 52.2207"
GB-0677,closed,RAF HAlesworth,,EU,GB,GB-U-A,,,,,"1.531005, 52.364097"
GB-0678,small_airport,Marsh Hill Farm Airstrip,,EU,GB,GB-ENG,,,,,"-0.832815, 51.774904"
GB-0679,small_airport,Marsh Court Manor Private Airstrip,,EU,GB,GB-ENG,,,,,"-1.495085, 51.098725"
GB-0680,small_airport,Manor Farm Airstrip,,EU,GB,GB-ENG,Glatton (Cambs),,,,"-0.312767, 52.468717"
GB-0681,small_airport,Manor Farm Airstrip,,EU,GB,GB-ENG,Slawston (Leicestershire),,,,"-0.867233, 52.540136"
GB-0682,balloonport,Lydiard Park,,EU,GB,GB-ENG,,,,,"-1.85193, 51.561725"
GB-0683,seaplane_base,Luss Seaplane Terminal,-1,EU,GB,GB-SCT,,,,,"-4.650422, 56.120657"
GB-0684,closed,Glasgow Seaplane Terminal,,EU,GB,GB-SCT,Glasgow,,,,"-4.294882, 55.85831"
GB-0685,small_airport,Athey's Moor Airfield,,EU,GB,GB-ENG,Longframlington,,,,"-1.785493, 55.316961"
